fips,state,county,pct_laccess_pop10,pct_laccess_pop15,pct_laccess_lowi10,pct_laccess_lowi15,pct_laccess_hhnv10,pct_laccess_hhnv15,pct_laccess_snap15,pct_laccess_child10,pct_laccess_child15,pct_laccess_seniors10,pct_laccess_seniors15,pct_diabetes18,class
17157,IL,Randolph,13.28837053,11.45849642,3.639438501,3.358534615,3.13070385,2.661570373,1.356605848,2.815674477,2.393428514,2.899207667,2.085901721,6.9,0.0
17159,IL,Richland,4.947200872,5.787274758,2.073513479,2.332689663,1.438668198,0.8234729091,0.7780850585,0.9226928982,1.138869903,1.110460116,1.269072739,7.3,0.0
17161,IL,Rock Island,20.41371387,17.69473007,6.704629283,6.337576595,1.987183139,2.093538449,2.345330707,4.758317061,4.200259765,2.994822074,2.421086932,9.3,1.0
17163,IL,St. Clair,41.79979444,33.64078061,14.77214863,11.97676683,4.554126711,3.256813516,5.3587944,11.03700543,8.93118509,5.033580939,3.90655304,6.9,0.0
17165,IL,Saline,34.87813268,39.04778872,16.50792439,19.74956817,4.779818856,6.019765392,10.05386939,8.233421164,9.23372238,6.27621052,7.047490078,7.7,0.0
17167,IL,Sangamon,31.58694151,24.25141186,7.090897593,5.169015646,2.175061125,1.131494407,1.56586746,7.337561746,5.789397904,4.316958017,3.375090793,6.9,0.0
17169,IL,Schuyler,13.9889108,14.14591089,5.725616259,3.572213023,2.751804504,1.080679615,0.6919040032,3.151505773,3.177321695,2.677497508,2.711555831,7.3,0.0
17171,IL,Scott,4.170700485,4.160859579,0.954601604,1.263213718,1.465416946,2.729121225,0.4886762979,0.8699950516,0.8686666192,0.7215778083,0.7215778083,7.3,0.0
17173,IL,Shelby,15.77134685,24.29915035,5.855076066,9.097252946,3.59854774,3.69472702,2.952266391,4.034360863,5.358894717,2.726714889,5.120480406,7.7,0.0
17175,IL,Stark,30.02026271,30.02026271,9.747823981,9.379163529,2.43272094,4.634459679,2.64622911,8.119886402,8.119886402,5.174700373,5.174700373,7.2,0.0
17177,IL,Stephenson,8.790297463,7.447060444,2.634121978,2.156579276,2.246124158,1.916237312,1.042198428,1.434822193,1.134928655,2.635630724,2.529459165,8.1,0.0
17179,IL,Tazewell,40.38240891,43.12429892,8.6373962,10.17534284,2.684762176,2.702104864,3.797390857,9.234682176,9.828464478,6.506103341,6.903070699,8.1,0.0
17181,IL,Union,7.875619335,13.26502859,3.891005715,5.420924557,3.511837352,3.477478746,2.595186434,1.710346756,2.840241918,1.455502179,2.665351628,7.2,0.0
17183,IL,Vermilion,17.56424931,14.54329174,6.87112404,5.720485501,3.267126665,2.506651873,2.36310461,4.295326093,3.473045134,3.193534705,2.542934764,7.4,0.0
17185,IL,Wabash,8.426866971,8.560870582,1.989896076,1.823063989,0.8398477083,0.94169677,0.9915285444,1.882286094,1.892817067,1.620759908,1.653314866,7.0,0.0
17187,IL,Warren,0.7216268671,6.649266934,0.2642410431,3.501639958,1.619910102,0.9759304461,1.306375831,0.157543033,1.691054098,0.1085354258,1.062884487,8.0,0.0
17189,IL,Washington,11.0691186,11.0622995,4.211020508,4.000095155,1.554614572,1.697895268,1.022808647,2.208662793,2.208662793,1.941035365,1.940944032,6.9,0.0
17191,IL,Wayne,20.38123406,20.04045519,7.41096724,7.117801288,2.55027141,2.627888292,1.591042918,5.011161979,5.000629558,3.725493642,3.607076698,7.5,0.0
17193,IL,White,29.89509452,29.23662884,13.76555479,14.14932897,6.16250981,4.273125102,4.439949811,6.782365321,6.027906329,5.263603493,6.602493199,7.6,0.0
17195,IL,Whiteside,17.00794654,22.31151412,4.955786028,7.162978536,1.822023817,2.610404158,2.391623485,3.717849693,4.872749871,3.422998988,4.41378705,8.8,1.0
17197,IL,Will,35.78358411,32.13050392,5.76111402,5.735383805,1.28532722,1.250484442,2.112646979,10.48531332,9.451649411,3.091981804,2.750143566,8.7,0.0
17199,IL,Williamson,17.99798668,14.45837796,6.042971026,4.465320652,2.393231351,2.005856192,1.70169867,4.298972099,3.456775199,2.854416966,2.110498566,9.7,1.0
17201,IL,Winnebago,24.68521412,25.84869674,6.217940312,7.342493097,1.198576192,1.372340301,2.607314571,5.98451618,6.23876584,3.16222437,3.303507642,8.6,0.0
17203,IL,Woodford,7.502317868,11.73007753,1.097375482,1.791577522,1.239122253,1.64982122,0.5035683751,1.909178047,3.075731391,1.231187565,1.727462133,6.8,0.0
18001,IN,Adams,7.137931607,8.645048653,2.761329843,3.315535556,9.178532028,8.75615299,1.356432975,1.401943596,1.803523896,1.942770974,2.086182335,6.7,0.0
18003,IN,Allen,33.09079211,30.36175736,10.13009857,9.841942486,2.642069296,2.693270437,3.28610501,8.795509074,7.840035457,3.986685451,3.750719784,10.2,1.0
18005,IN,Bartholomew,23.51860142,27.30378353,6.490776353,9.182652071,1.351421471,1.774036754,2.621017567,6.09916457,7.206917508,3.102443604,3.489486554,9.6,1.0
18007,IN,Benton,1.197661627,1.586147089,0.3643874168,0.8238202711,0.9390378022,2.105045374,0.2307716116,0.2500154065,0.315321319,0.2372567017,0.2946209173,8.0,0.0
18009,IN,Blackford,2.018075834,2.122043971,0.6354445662,0.7789825505,1.144906878,2.810072271,0.3942798306,0.4695787279,0.4843619688,0.4066132597,0.3077720276,8.5,0.0
